Date,SP500,SP500_%Change
1995/8/21,558.11,-0.196706067
1995/8/22,559.52,0.252638369
1995/8/23,557.14,-0.425364598
1995/8/24,557.46,0.057436192
1995/8/25,560.1,0.473576579
1995/8/28,559.05,-0.187466524
1995/8/29,560,0.169931133
1995/8/30,560.92,0.164285714
1995/8/31,561.88,0.171147401
1995/9/1,563.84,0.348828931
1995/9/5,569.17,0.945303632
1995/9/6,570.17,0.175694432
1995/9/7,570.29,0.021046355
1995/9/8,572.68,0.419085027
1995/9/11,573.91,0.214779633
1995/9/12,576.51,0.453032705
1995/9/13,578.77,0.392014015
1995/9/14,583.61,0.836256198
1995/9/15,583.35,-0.044550299
1995/9/18,582.77,-0.099425731
1995/9/19,584.2,0.245379824
1995/9/20,586.77,0.439917836
1995/9/21,583,-0.642500469
1995/9/22,581.73,-0.217838765
1995/9/25,581.81,0.013752084
1995/9/26,581.41,-0.068750967
1995/9/27,581.04,-0.063638396
1995/9/28,585.87,0.831268071
1995/9/29,584.41,-0.249202041
1995/10/2,581.72,-0.460293287
1995/10/3,582.34,0.106580485
1995/10/4,581.47,-0.149397259
1995/10/5,582.63,0.199494385
1995/10/6,582.49,-0.024028972
1995/10/9,578.37,-0.70730828
1995/10/10,577.52,-0.146964746
1995/10/11,579.46,0.335919102
1995/10/12,583.1,0.628171056
1995/10/13,584.5,0.240096038
1995/10/16,583.03,-0.251497006
1995/10/17,586.78,0.643191602
1995/10/18,587.44,0.112478271
1995/10/19,590.65,0.546438785
1995/10/20,587.46,-0.540082959
1995/10/23,585.06,-0.408538454
1995/10/24,586.54,0.252965508
1995/10/25,582.47,-0.693899819
1995/10/26,576.72,-0.987175305
1995/10/27,579.7,0.516715217
1995/10/30,583.25,0.612385717
1995/10/31,581.5,-0.300042863
1995/11/1,584.22,0.467755804
1995/11/2,589.72,0.941426175
1995/11/3,590.57,0.1441362
1995/11/6,588.46,-0.357281948
1995/11/7,586.32,-0.363661081
1995/11/8,591.71,0.919293219
1995/11/9,593.26,0.261952646
1995/11/10,592.72,-0.091022486
1995/11/13,592.3,-0.070859765
1995/11/14,589.29,-0.508188418
1995/11/15,593.96,0.792479085
1995/11/16,597.34,0.56906189
1995/11/17,600.07,0.457026149
1995/11/20,596.85,-0.536604063
1995/11/21,600.24,0.567981905
1995/11/22,598.4,-0.306544049
1995/11/24,599.97,0.26236631
1995/11/27,601.32,0.225011251
1995/11/28,606.45,0.853123129
1995/11/29,607.64,0.196223926
1995/11/30,605.37,-0.37357646
1995/12/1,606.98,0.265953054
1995/12/4,613.68,1.103825497
1995/12/5,617.68,0.651805501
1995/12/6,620.18,0.404740319
1995/12/7,616.17,-0.646586475
1995/12/8,617.48,0.212603665
1995/12/11,619.52,0.330375073
1995/12/12,618.78,-0.119447314
1995/12/13,621.69,0.470280229
1995/12/14,616.92,-0.767263427
1995/12/15,616.34,-0.094015431
1995/12/18,606.81,-1.546224486
1995/12/19,611.93,0.843756695
1995/12/20,605.94,-0.978870132
1995/12/21,610.49,0.750899429
1995/12/22,611.96,0.240790185
1995/12/26,614.3,0.382377933
1995/12/27,614.53,0.03744099
1995/12/28,614.12,-0.066717654
1995/12/29,615.93,0.294730672
1996/1/2,620.73,0.779309337
1996/1/3,621.32,0.095049377
1996/1/4,617.7,-0.582630529
1996/1/5,616.71,-0.160271977
1996/1/8,618.46,0.283763844
1996/1/9,609.45,-1.45684442
1996/1/10,598.48,-1.799983592
1996/1/11,602.69,0.703448737
1996/1/12,601.81,-0.146012046
1996/1/15,599.82,-0.330669148
1996/1/16,608.44,1.437097796
1996/1/17,606.37,-0.340214319
1996/1/18,608.24,0.308392566
1996/1/19,611.83,0.590227542
1996/1/22,613.4,0.256607227
1996/1/23,612.79,-0.099445712
1996/1/24,619.96,1.170058258
1996/1/25,617.03,-0.472611136
1996/1/26,621.62,0.743886035
1996/1/29,624.22,0.418261961
1996/1/30,630.15,0.949985582
1996/1/31,636.02,0.93152424
1996/2/1,638.46,0.383635735
1996/2/2,635.84,-0.410362435
1996/2/5,641.43,0.879151988
1996/2/6,646.33,0.76391812
1996/2/7,649.93,0.556991011
1996/2/8,656.07,0.944717123
1996/2/9,656.37,0.045726828
1996/2/12,661.45,0.773953715
1996/2/13,660.51,-0.142112027
1996/2/14,655.58,-0.746392939
1996/2/15,651.32,-0.649806278
1996/2/16,647.98,-0.512804766
1996/2/20,640.65,-1.131207753
1996/2/21,648.1,1.162881449
1996/2/22,658.86,1.660237618
1996/2/23,659.08,0.033391009
1996/2/26,650.46,-1.307883717
1996/2/27,647.24,-0.495034283
1996/2/28,644.75,-0.384710463
1996/2/29,640.43,-0.670027142
1996/3/1,644.37,0.615211655
1996/3/4,650.81,0.999425796
1996/3/5,655.79,0.765200289
1996/3/6,652,-0.57792891
1996/3/7,653.65,0.253067485
1996/3/8,633.5,-3.082689513
1996/3/11,640.02,1.029202841
1996/3/12,637.09,-0.457798194
1996/3/13,638.55,0.229166994
